,town,type,name,bind_ind,page_ind,description,Quip,Utility Unlocks,Unused,Sprite,Chinese Name,Chinese Description,Spanish Name,Description,French Name,Description,Japanese Name,Description,Portuguese Name,Description,Korean Name,Description
concord_journal0,Spring Hamlet,personal,Journals for Guardians,1,0,"Records of our history are plentiful within the Grove, but our own stories and truths are often left out. As a Guardian, I feel it important to explore qualities of my peers.  In my journal, I can highlight these MEMORIES to use in my daily life. Copying the practices of the others, I can explore more ways to empower myself. Some of the older Guardians will be resistant, but I remain eager to introduce my ideas to the others.",,,,,,,Revistas Para Guardianes,"Los registros de nuestra historia son abundantes en Grove, pero nuestras propias historias y verdades a menudo quedan fuera. Como tutor, creo que es importante explorar las cualidades de mis compañeros. En mi diario, puedo destacar estas MEMORIAS para usar en mi vida diaria. Copiando las prácticas de los demás, puedo explorar más formas de empoderarme. Algunos de los Guardianes mayores se resistirán, pero sigo ansioso por presentar mis ideas a los demás.",,,,,,,,
concord_journal1,Spring Hamlet,personal,Utilizing the Journal I,1,0,"The Cover of my Journal holds the MEMORIES I wish to use. These are the experiences I hold closer to myself. The wider my perspective, the more I can hold. The interior contains an index of other people I wish to meet. I find that my personal experience with them is what best forms the foundation of how I proceed.",,,,,,,,,,,,,,,,
concord_journal2,Spring Hamlet,personal,Utilizing the Journal II,1,0,"After I get an idea of who they are, I like to write down things they do. The things they like, the things they dislike. The tasks that they work hardest. By practicing these things over time, I find that I have a better appreciation (and ability) for Guardians' place in the Grove.",,,,,,,,,,,,,,,,
concord_stats0,Spring Hamlet,personal,Know Yourself! I,1,0,"Out of all qualities, a Guardian's body and thought are the most important. MIND dictates their perspective, and willingness to incorporate another's experiences and ideas into their being. HEALTH dictates their ability to withstand and hold fast against physical danger.",,,,,,,,,,,,,,,,
concord_stats1,Spring Hamlet,personal,Know Yourself! II,1,0,"HAND SPEED determines how fast a Guardian can utilize various items. This includes the charge-speed of tools like the Pick or the Hammer, or the speed of opening Jars. RUN SPEED determines how fast a Guardian can run. MAX STAMINA is your pool of energy for actions, which refills depending on your STAMINA RECHARGE.",,,,,,,,,,,,,,,,
concord_stats2,Spring Hamlet,personal,Know Yourself! III,1,0,"RESISTANCE contributes to a Guardian's ability to mitigate bad statuses and keep good ones. LUCK, while small, affects many a variety of chance-based things, including resource harvesting and the odds that your tool hits harder.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Spring Hamlet,,,,,,,,,,,,,,,,,,,,,
sprg_hist_a,Spring Hamlet,history,A Humble History,1,0,"The birthplace of all the Greenlings on the island, Spring Hamlet has stayed a humble farming town since its founding.Our close roots to the Grove's base ensures the strongest flow of Dew, an abundance that has made the Hamlet the beating heart of the Grove's trade network. Our prosperity has always been shared with the outer towns, making Spring Hamlet a popular destination for the weary and hurt of the Grove.",,,,,,,,,,,,,,,,
sprg_hist_b,Spring Hamlet,history,Birthplace: The Kindergarden,1,0,"In the early days, the first of us emerged from the Kindergarden, the everlasting vine. As with every birthplace, the Kindergarden shares kinship with the Grove itself, connecting us to the very Font that sustains us. What at one time was a neverending length winding through the Hamlet itself, the Kindergarden has receded. Now the vine sits silent, a reminder of a previous era.",,obj_firebloom,,,,,,,,,,,,,,
