  ,name,town,x,y,width,height,song,vibe,type,Chinese,Spanish,French,Japanese,Portuguese,Korean
r_thebend,The Bend,Spring Hamlet,12,15,2,2,,,outside,,,,,,
r_home,Concord's Home,Spring Hamlet,13,16,0,0,song_home,,inside,,,,,,
r_testroom,Grove Crossroads,Spring Hamlet,11,17,3,3,song_spr_wild,,outside,,,,,,
r_springhamlet,Spring Hamlet,Spring Hamlet,14,17,3,3,,,outside,,,,,,
r_bellrow,Bell Row,Spring Hamlet,19,17,2,3,song_spr_wild,,outside,,,,,,
r_babblebrook,Babble Brook,Spring Hamlet,14,12,3,2,song_spr_wild,,outside,,,,,,
r_treepath,Treepath,Spring Hamlet,17,17,2,1,song_spr_wild,,outside,,,,,,
r_treepath_grave,Hidden Pocket,Spring Hamlet,17,16,1,1,song_spr_wild,,outside,,,,,,
r_docks,Glitter Docks,Spring Hamlet,14,20,3,3,,,outside,,,,,,
r_riverway,The Riverway,Spring Hamlet,14,14,2,3,song_spr_wild,,outside,,,,,,
r_riverway_cove,Riverway Cove,Spring Hamlet,16,15,1,1,song_spr_wild,,outside,,,,,,
r_beach_pit,Bloom Bank,Spring Hamlet,17,20,2,2,song_spr_wild,,outside,,,,,,
r_shellcove,Shell Cove,Spring Hamlet,19,20,2,2,song_spr_wild,,outside,,,,,,
r_kindergarden,The Kindergarden,Spring Hamlet,12,12,2,3,song_home,,outside,,,,,,
r_oldshortcut,Old Shortcut,Spring Hamlet,11,14,1,2,song_spr_wild,,outside,,,,,,
r_library,Spring Library,Spring Hamlet,15,17,1,1,song_academic,,inside,,,,,,
r_thestacks_a,The Stacks,Spring Hamlet,15,17,0,0,song_spr_dungeon,,inside,,,,,,
r_thestacks_b,Ancient Archives,Spring Hamlet,15,17,0,0,song_spr_dungeon,,inside,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
r_lilylanding,Lily Landing,Summer Bar,20,24,1,1,song_smr_wild,,outside,,,,,,
r_quietshore,Quiet Shore,Summer Bar,19,25,3,2,,,outside,,,,,,
r_summerstart,Lilyputt,Summer Bar,17,25,2,2,,,outside,,,,,,
r_vistaoutpost,Vista Outpost,Summer Bar,22,25,3,3,,,outside,,,,,,
r_reefridge,Reef Ridge,Summer Bar,25,26,2,2,song_smr_wild,,outside,,,,,,
r_summerend,Summer's End,Summer Bar,25,24,3,2,song_smr_wild,,outside,,,,,,
,,Summer Bar,,,,,,,outside,,,,,,
r_home_smr,The Old Lighthouse,Summer Bar,21,26,0,0,song_home,,inside,,,,,,
r_library_smr,Visitor Center,Summer Bar,20,26,0,0,song_academic,,inside,,,,,,
r_waterlog_a,Waterlog,Summer Bar,25,24,2,2,song_smr_dungeon,,inside,,,,,,
r_waterlog_b,The Depths,Summer Bar,25,24,2,2,song_smr_dungeon,,inside,,,,,,
,,,,,,,,,,,,,,,
r_grandsquare,Perennial Plaza,Autumn Town,8,15,3,3,song_atm_wild,,outside,,,,,,
,,Autumn Town,,,,,,,,,,,,,
r_city_road,City Road,Autumn Town,8,11,2,2,,,outside,,,,,,
r_wheatfield,Wheat Field,Autumn Town,9,9,3,2,,,outside,,,,,,
r_wheatfield_shed,Wheat Field Shed,Autumn Town,9,7,0,0,,,outside,,,,,,
r_puzzleplateau,Sewer Entrance,Autumn Town,6,11,2,2,song_atm_wild,,outside,,,,,,
,,Autumn Town,,,,,,,,,,,,,
,,Autumn Town,,,,,,,,,,,,,
r_secondsteppe,Second Steppe,Autumn Town,7,13,1,1,song_atm_wild,,outside,,,,,,
r_plantationvillage,Plantation Village,Autumn Town,6,14,2,1,,,outside,,,,,,
r_firststeppe,First Steppe,Autumn Town,6,15,1,1,song_atm_wild,,outside,,,,,,
r_breezywalkabout,Breezy Walkabout,Autumn Town,6,16,2,1,song_atm_wild,,outside,,,,,,
,,Autumn Town,,,,,,,,,,,,,
r_library_atm,Heritage Archive,Autumn Town,6,14,2,1,song_academic,,inside,,,,,,
r_home_atm,Greenhouse,Autumn Town,9,12,0,0,song_home,,inside,,,,,,
r_sewer_a,Upper Sewer,Autumn Town,6,9,0,0,song_atm_dungeon,,inside,,,,,,
r_sewer_b,The Old Rotbeds,Autumn Town,6,9,0,0,song_atm_dungeon,,inside,,,,,,
r_sewer_c,Deep Catacombs,Autumn Town,6,9,0,0,song_atm_dungeon,,inside,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
r_waterfall,Frosted Falls,Winter Thicket,17,12,3,3,,,outside,,,,,,
r_twilightpaddy,Twilight Paddy,Winter Thicket,21,18,2,2,song_wtr_wild,,outside,,,,,,
r_brokenblockade,Cube Coast,Winter Thicket,23,18,1,1,song_wtr_wild,,outside,,,,,,
r_winterglade,Winter Glade,Winter Thicket,21,15,3,3,,,outside,,,,,,
r_mistyclearing,Misty Clearing,Winter Thicket,18,15,3,2,,,outside,,,,,,
r_wonderpond,Wonder Pond,Winter Thicket,20,14,1,1,song_wtr_wild,,outside,,,,,,
r_lostgarden,Lost Garden,Winter Thicket,20,12,1,2,song_wtr_wild,,outside,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
r_themists,The Mists,Winter Thicket,21,12,3,3,song_wtr_dungeon,,outside,,,,,,
r_mists_temple,Mists Temple,Winter Thicket,20,8,2,4,song_mystic,,outside,,,,,,
r_temple_inner,The Font,Winter Thicket,13,7,5,3,song_final_room,,inside,,,,,,
r_library_wtr,Scrollkeeper's Den,Winter Thicket,23,18,0,0,song_academic,,inside,,,,,,
r_home_wtr,Rickety Hut,Winter Thicket,19,15,0,0,song_home,,inside,,,,,,
,,,,,,,,,,,,,,,
r_theworld,The World,Spring Hamlet,12,1,8,11,,,inside,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
r_grandsquare_demo,Perennial Plaza,Spring Hamlet,8,15,3,3,song_spr_day,,outside,,,,,,
r_city_road_demo,City Road,Autumn Town,8,11,2,2,,,outside,,,,,,
r_wheatfield_demo,Wheat Field,Autumn Town,9,9,3,2,,,outside,,,,,,
r_wheatfield_shed_demo,Wheat Field Shed,Autumn Town,9,7,0,0,,,outside,,,,,,
r_puzzleplateau_demo,Sewer Entrance,Autumn Town,6,11,2,2,,,outside,,,,,,
r_home_atm_demo,Greenhouse,Autumn Town,9,12,0,0,song_home,,inside,,,,,,
r_sewer_demo,Sewer Depths,Autumn Town,6,9,0,0,song_atm_dungeon,,inside,,,,,,
