,Name,Type,Achievement,Description,Effect Name,Effect Description,Get Text,,,,Get,Skill
inv_tool_hammer,Autumn Audacity,Tool Action,Hit Multiple Enemies in one hit 25 times.,"Unrelenting and brutish, Cane was able to fight so many rot at once.",Pulverizing Blows,Hold the Hammer longer for larger areas of effect and slight damage increase.,,Test,Done,Total,58,58
inv_shld_seedbag,Crop Keeper,Minor Stat Bonus,Harvest 5 Crops While They're Still Growing,"Autumn Town had the Grove's worst soil. As a Gardener, Cane had to overcome impatience often.",Hardy Gardener,+4 Resist -2 Max HP,Concord is being a little impatient for a Gardener!,Test,Done,Done,13,35
inv_dew_spiced,,Dew Perk,Use 30 Spicy Dew,,Heated,Spicy Dew creates,,Unstarted,Unstarted,To-Do,45,23
inv_tool_hammer,Tip the Scales,Tool Passive,End the Drought,Cane fought against slim chances and still came out on top.,Against All Odds,"If the area's enemies outnumber Concord three-to-one, the Hammer does more damage.",,Done,Done,Unstarted,9,8
,The First,Main Stat Bonus,Discover Cane's Memorial,"As the first, Cane is the inspiration for all Guardians.",Just Do It,+2 Resist -1 Max Stamina,,Done,Done,WIP + Done,49,50
,Rot Breaker,Location Bonus,Move through 20 Sewer Floors,The first and most fetid of dungeons was delved by Cane.,Spelunker,Heal a little while moving through dungeons.,Concord is delving deeper than anyone has gone.,Test,Done,,,
,Take Back the Grove,Random Perk A,Plant 25 Seeds,Cane brought growth in a time when all seemed lost.,Sempiternal Sprouting,50% Chance to not consume Seeds upon planting.,Concord is back to their Gardening days!,Test,Test,,,
,Blossoming Botanist,Gathering Bonus,Log 8 Different Crops,Cane knew that each town contributed something unique to the crops of the Grove.,Green-Thumb,All crops drop extra money.,Concord is discovering new kinds of flora in the Grove!,Test,Test,,,
,Thick-Skinned Toad,Random Perk B,Take 50 hits.,"As a toad, Cane took the biggest hits and kept going.",Shake it Off,Each Resist gives Concord a 5% chance to reduce an attack's damage to 1.,Concord knows how to take a hit now.,Test,Test,,,
inv_tool_spade,Debris Free,Tool Action,Hit Enemies with the Spade 20 Times,"Plum rid the soil of rubble across the Grove, creating fertile earth for growing.",Easy Targets,Concord can redirect the Spade during charge and lunges forward on attack.,,Test,Done,,,
,Looking Out,Minor Stat Bonus,5 Favor Tasks Completed,"Where many Guardians had lofty dreams, Plum was grounded and accessible to the community.",Community Caretaker,+2 Stamina Recharge -1 Max Stamina,,Test,Done,,,
inv_dew_tap,Tap Dew,Dew Perk,50 Tap Dew Used,"While most preferred fancier, expensive Dews, Plum preferred the unfiltered taste of Tap Dew.",A Semi-Solid Staple,Tap Dew heals a lot more.,,Test,Done,,,
inv_tool_spade,Dig Dug,Tool Passive,,"Not everyone could use the Spade effectively, but Plum learned to manage its weight.",Plowing Plenty,A fully charged Spade attack digs all plots near Concord.,,Unstarted,Unstarted,,,
,Spring Guardian,Main Stat Bonus,Talk to Plum before they leave Spring Hamlet.,Plum was your best friend in the Kindergarden. It will be hard without them.,Fond Distance,+2 Max HP +1 Stamina Recharge -2 Luck,,Done,Done,,,
,,Location Bonus,,,,,,,,,,
,Delayed Gratification,Random Perk A,,,,,,,,,,
,,Gathering Bonus,,,,,,,,,,
,,Random Perk B,,,,,,,,,,
bailan,,Tool Action,,,,,,,,,,
