key,name,Req. Tool,Req. Room,prog_type,prog_count,tier,type,win,Ready?,reward,Description,Win Message,Loss Message,,Chinese - Name,Chinese - Description,Chinese - Win,Chinese - Lose,Spanish,Description,Win,Lose,French,Description,Win,Lose,Japanese,Description,Win,Lose,Portuguese,Description,Win,Lose,Korean,Description,Win,Lose
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Hamlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1c_rot,Rot Trouble,,r_treepath,group,4,1,conflict,15,Done,itm_leaf_2,A group of organized Rot got past the gate in Treepath and is preventing entry to the forest. Someone needs to clear them out!,The group of rot Perished.,The group caused damage to the path!,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1c_oozing,Oozing Over,,,count,7,1,conflict,15,Done,itm_leaf_2,Those bigger Oozes have been increasing in count over the last few days. We need to keep the Hamlet safe! Whack 7 of them.,Rot numbers reduced!,Some villagers were too scared to work.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1c_twigging,Twigging Out,,r_testroom,group,3,2,conflict,15,Done,itm_leaf_3,Some Rot Roots are growing into the Crossroads. Could you please cut them down?,The Rot Roots didn't have time to grow in!,Guards had to take time to trim the Rot Roots.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_2c_bellrowroots,Root of the Problem,,r_bellrow,group,3,2,conflict,25,Done,itm_leaf_4,Fetid roots have grown into Bell Row. Cut them down before someone gets hurt!,Rot Roots were properly trimmed!,Rot Roots grew in and caused damage.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_3c_gruesome,A Gruesome Gathering,,r_bellrow,group,2,3,conflict,50,Testable,itm_leaf_4,A crowd has been gathering in Bell Row at night. Someone rid us of those Acorns that seem to be gathering all the Oozes to the area!,Bell Row was properly rid of Acorns.,The Glade had to fight Bell Row's Acorns themselves.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_3c_glomp,Moonlit Mess,,r_testroom,count,1,3,conflict,50,Testable,itm_leaf_4,Glomps in the Crossroads have been ruining the rocky outcrops in the Crossroads at night. We need someone to disperse at least one of them after the sun sets.,The Glomp is no longer causing trouble.,The Glomp caused damage to the Crossroads.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_3c_beach,Beach Battle,,r_beachpit,group,4,3,conflict,50,Idea,itm_leaf_4,Summer Bar is requesting aid in clearing the Rot attempting to cross the Lily Path in Shell Cove.,Request Succeeded,Request Failed,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1m_beachbridge,Coast Bridge,,r_shellcove,single,1,1,maintenance,15,Done,itm_leaf_2,Another bridge has been deactivated. We need someone to enter through the Docks and reactivate the right nodes.,Bridge to Shell Cove was restored!,Workers couldn't gather anything from Shell Cove.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1m_riverbulbs,River Blockage,inv_tool_pole,r_riverway,count,3,1,maintenance,15,Testable,itm_leaf_3,The Riverway is clogged by a small concentrated group of River Bulbs. We need them plucked up with a Dowsing Rod!,Riverway is now flowing freely!,Dew production was halted by the clogged Riverway.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1m_riverbridge,Riverway Bridge,,r_riverway,single,1,2,maintenance,25,Done,itm_leaf_3,The bridge from Spring Hamlet to the Riverway has deactivated! You can get there from the Bend to reactivate them!,Riverway bridge was restored!,Workers couldn't gather anything from the Riverway.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1m_fences,Riverway Fences,inv_tool_hammer,r_riverway,group,3,2,maintenance,40,Done,itm_leaf_3,A few Oozes got rowdy and dislodged some fences in the Riverway! Someone needs to pound the pegs back in with a hammer!,Fences properly restored!,Guards had to defend against Rot in the Hamlet.,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_2m_ac_wells,Wellspring,,r_thebend,single,1,2,maintenance,35,Testable,itm_leaf_3,The wells in The Bend have broken down due to frequent usage by Sili's group. They want them repaired using some sap.,Dew access restored to Villagers!,"Sili's group went without Dew for the day, killing their crops.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprg_1f_sap,Cracked Homes,,,count,2,1,forage,10,Done,itm_leaf_2,Some Oozes tried to break into an Apartment. We need Sap from overgrown stumps to patch the cracks! Could someone put 2 globs of Sap into a Forage Box?,The homes were patched up!,The cracking on the apartment became more severe.,,,,,,,,,,,,,,,,,,,,,,,,,
