  ,name,town,x,y,width,height,song,vibe,type,Chinese,Spanish,French,Japanese,Portuguese,Korean
r_thebend,Изгиб,Весенняя Деревня,12,15,2,2,,,outside,,,,,,
r_home,Дом Конкорда,Весенняя Деревня,13,16,0,0,song_home,,inside,,,,,,
r_testroom,Перекрестки Рощи,Весенняя Деревня,11,17,3,3,song_spr_wild,,outside,,,,,,
r_springhamlet,Весенняя Деревня,Весенняя Деревня,14,17,3,3,,,outside,,,,,,
r_bellrow,Колокольный ряд,Весенняя Деревня,19,17,2,3,song_spr_wild,,outside,,,,,,
r_babblebrook,Журчащий ручей,Весенняя Деревня,14,12,3,2,song_spr_wild,,outside,,,,,,
r_treepath,Лесная тропа,Весенняя Деревня,17,17,2,1,song_spr_wild,,outside,,,,,,
r_treepath_grave,Потайной Карман,Весенняя Деревня,17,16,1,1,song_spr_wild,,outside,,,,,,
r_docks,Блестящие Доки,Весенняя Деревня,14,20,3,3,,,outside,,,,,,
r_riverway,Река,Весенняя Деревня,14,14,2,3,song_spr_wild,,outside,,,,,,
r_riverway_cove,Речная Бухта,Весенняя Деревня,16,15,1,1,song_spr_wild,,outside,,,,,,
r_beach_pit,Цветник,Весенняя Деревня,17,20,2,2,song_spr_wild,,outside,,,,,,
r_shellcove,Бухта Ракушек,Весенняя Деревня,19,20,2,2,song_spr_wild,,outside,,,,,,
r_kindergarden,Детский сад,Весенняя Деревня,12,12,2,3,song_home,,outside,,,,,,
r_oldshortcut,Старая срезка,Весенняя Деревня,11,14,1,2,song_spr_wild,,outside,,,,,,
r_library,Весенняя библиотека,Весенняя Деревня,15,17,1,1,song_academic,,inside,,,,,,
r_thestacks_a,Стеллажи,Весенняя Деревня,15,17,0,0,song_spr_dungeon,,inside,,,,,,
r_thestacks_b,Древние архивы,Весенняя Деревня,15,17,0,0,song_spr_dungeon,,inside,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
r_lilylanding,Посадка Лилии,Летний Бар,20,24,1,1,song_smr_wild,,outside,,,,,,
r_quietshore,Тихий берег,Летний Бар,19,25,3,2,,,outside,,,,,,
r_summerstart,Лилипут,Летний Бар,17,25,2,2,,,outside,,,,,,
r_vistaoutpost,Застава Виста,Летний Бар,22,25,3,3,,,outside,,,,,,
